reception_time|weather|ID
1688732390|{'reference_time': 1688732390, 'sunset_time': 1688752019, 'sunrise_time': 1688693379, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 3.13, 'deg': 50, 'gust': 0}, 'humidity': 48, 'pressure': {'press': 1014, 'sea_level': None}, 'temperature': {'temp': 304.5, 'temp_kf': None, 'temp_max': 304.5, 'temp_min': 304, 'feels_like': 305.95}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|578072
1688732390|{'reference_time': 1688732122, 'sunset_time': 1688757280, 'sunrise_time': 1688695832, 'clouds': 3, 'rain': {}, 'snow': {}, 'wind': {'speed': 5.32, 'deg': 284, 'gust': 6.51}, 'humidity': 36, 'pressure': {'press': 1023, 'sea_level': 1023}, 'temperature': {'temp': 295.18, 'temp_kf': None, 'temp_max': 295.18, 'temp_min': 295.18, 'feels_like': 294.38}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 7200, 'uvi': None, 'precipitation_probability': None}|554234
1688732391|{'reference_time': 1688732257, 'sunset_time': 1688750859, 'sunrise_time': 1688688518, 'clouds': 48, 'rain': {}, 'snow': {}, 'wind': {'speed': 2.06, 'deg': 240, 'gust': 2.5}, 'humidity': 32, 'pressure': {'press': 1019, 'sea_level': 1019}, 'temperature': {'temp': 303.49, 'temp_kf': None, 'temp_max': 303.49, 'temp_min': 303.49, 'feels_like': 302.39}, 'status': 'Clouds', 'detailed_status': 'scattered clouds', 'weather_code': 802, 'weather_icon_name': '03d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|551487
1688732391|{'reference_time': 1688732391, 'sunset_time': 1688727777, 'sunrise_time': 1688670330, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 3.13, 'deg': 230, 'gust': 0}, 'humidity': 73, 'pressure': {'press': 1004, 'sea_level': None}, 'temperature': {'temp': 293.57, 'temp_kf': None, 'temp_max': 294.04, 'temp_min': 293.57, 'feels_like': 293.57}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01n', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 36000, 'uvi': None, 'precipitation_probability': None}|2022890
1688732391|{'reference_time': 1688732300, 'sunset_time': 1688749982, 'sunrise_time': 1688694266, 'clouds': 20, 'rain': {}, 'snow': {}, 'wind': {'speed': 4, 'deg': 120}, 'humidity': 38, 'pressure': {'press': 1006, 'sea_level': None}, 'temperature': {'temp': 305.94, 'temp_kf': None, 'temp_max': 306.16, 'temp_min': 305.94, 'feels_like': 306.21}, 'status': 'Clouds', 'detailed_status': 'few clouds', 'weather_code': 801, 'weather_icon_name': '02d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|542420
1688732392|{'reference_time': 1688732336, 'sunset_time': 1688753610, 'sunrise_time': 1688691296, 'clouds': 100, 'rain': {}, 'snow': {}, 'wind': {'speed': 2.56, 'deg': 235, 'gust': 4.35}, 'humidity': 47, 'pressure': {'press': 1014, 'sea_level': 1014}, 'temperature': {'temp': 298.31, 'temp_kf': None, 'temp_max': 299.29, 'temp_min': 297.18, 'feels_like': 298.11}, 'status': 'Clouds', 'detailed_status': 'overcast clouds', 'weather_code': 804, 'weather_icon_name': '04d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|524894
1688732392|{'reference_time': 1688732239, 'sunset_time': 1688752322, 'sunrise_time': 1688689514, 'clouds': 20, 'rain': {}, 'snow': {}, 'wind': {'speed': 7, 'deg': 200}, 'humidity': 54, 'pressure': {'press': 1017, 'sea_level': None}, 'temperature': {'temp': 301.77, 'temp_kf': None, 'temp_max': 301.88, 'temp_min': 301.77, 'feels_like': 302.79}, 'status': 'Clouds', 'detailed_status': 'few clouds', 'weather_code': 801, 'weather_icon_name': '02d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|520555
1688732393|{'reference_time': 1688732390, 'sunset_time': 1688742439, 'sunrise_time': 1688680707, 'clouds': 75, 'rain': {'1h': 0.71}, 'snow': {}, 'wind': {'speed': 2, 'deg': 30}, 'humidity': 83, 'pressure': {'press': 1005, 'sea_level': None}, 'temperature': {'temp': 293.76, 'temp_kf': None, 'temp_max': 293.76, 'temp_min': 293.31, 'feels_like': 294.04}, 'status': 'Rain', 'detailed_status': 'light rain', 'weather_code': 500, 'weather_icon_name': '10d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 25200, 'uvi': None, 'precipitation_probability': None}|1496747
1688732393|{'reference_time': 1688732268, 'sunset_time': 1688809888, 'sunrise_time': 1688749730, 'clouds': 100, 'rain': {'1h': 0.74}, 'snow': {}, 'wind': {'speed': 4, 'deg': 180}, 'humidity': 100, 'pressure': {'press': 997, 'sea_level': None}, 'temperature': {'temp': 283.48, 'temp_kf': None, 'temp_max': 283.48, 'temp_min': 283.03, 'feels_like': 283.18}, 'status': 'Rain', 'detailed_status': 'light intensity shower rain', 'weather_code': 520, 'weather_icon_name': '09n', 'visibility_distance': 6000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 43200, 'uvi': None, 'precipitation_probability': None}|2122104
1688732393|{'reference_time': 1688732146, 'sunset_time': 1688750335, 'sunrise_time': 1688693558, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 6.71, 'deg': 106, 'gust': 0}, 'humidity': 25, 'pressure': {'press': 1009, 'sea_level': None}, 'temperature': {'temp': 308.22, 'temp_kf': None, 'temp_max': 309.2, 'temp_min': 308.22, 'feels_like': 306.98}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|501175
1688732394|{'reference_time': 1688732371, 'sunset_time': 1688757480, 'sunrise_time': 1688690950, 'clouds': 75, 'rain': {}, 'snow': {}, 'wind': {'speed': 5, 'deg': 300, 'gust': 10}, 'humidity': 81, 'pressure': {'press': 1013, 'sea_level': None}, 'temperature': {'temp': 290.4, 'temp_kf': None, 'temp_max': 291.23, 'temp_min': 290.4, 'feels_like': 290.3}, 'status': 'Clouds', 'detailed_status': 'broken clouds', 'weather_code': 803, 'weather_icon_name': '04d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|498817
1688732394|{'reference_time': 1688732191, 'sunset_time': 1688750048, 'sunrise_time': 1688690812, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 1.49, 'deg': 48, 'gust': 2.25}, 'humidity': 49, 'pressure': {'press': 1017, 'sea_level': 1017}, 'temperature': {'temp': 300.71, 'temp_kf': None, 'temp_max': 300.71, 'temp_min': 300.71, 'feels_like': 301.05}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 14400, 'uvi': None, 'precipitation_probability': None}|498677
1688732394|{'reference_time': 1688732387, 'sunset_time': 1688749483, 'sunrise_time': 1688694403, 'clouds': 19, 'rain': {}, 'snow': {}, 'wind': {'speed': 1.68, 'deg': 185, 'gust': 1.82}, 'humidity': 64, 'pressure': {'press': 1008, 'sea_level': 1008}, 'temperature': {'temp': 302.09, 'temp_kf': None, 'temp_max': 302.2, 'temp_min': 302.09, 'feels_like': 304.71}, 'status': 'Clouds', 'detailed_status': 'few clouds', 'weather_code': 801, 'weather_icon_name': '02d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|491422
1688732395|{'reference_time': 1688732395, 'sunset_time': 1688727268, 'sunrise_time': 1688672384, 'clouds': 94, 'rain': {}, 'snow': {}, 'wind': {'speed': 3.34, 'deg': 145, 'gust': 4.3}, 'humidity': 97, 'pressure': {'press': 1005, 'sea_level': 1005}, 'temperature': {'temp': 292.16, 'temp_kf': None, 'temp_max': 292.16, 'temp_min': 292.05, 'feels_like': 292.65}, 'status': 'Clouds', 'detailed_status': 'overcast clouds', 'weather_code': 804, 'weather_icon_name': '04n', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 36000, 'uvi': None, 'precipitation_probability': None}|2013348
1688732395|{'reference_time': 1688732300, 'sunset_time': 1688751727, 'sunrise_time': 1688692428, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 3, 'deg': 160}, 'humidity': 37, 'pressure': {'press': 1015, 'sea_level': None}, 'temperature': {'temp': 305.16, 'temp_kf': None, 'temp_max': 305.16, 'temp_min': 304.8, 'feels_like': 304.94}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 10800, 'uvi': None, 'precipitation_probability': None}|472045
1688732395|{'reference_time': 1688732111, 'sunset_time': 1688748577, 'sunrise_time': 1688685284, 'clouds': 0, 'rain': {}, 'snow': {}, 'wind': {'speed': 7, 'deg': 340}, 'humidity': 28, 'pressure': {'press': 1015, 'sea_level': None}, 'temperature': {'temp': 299.92, 'temp_kf': None, 'temp_max': 299.92, 'temp_min': 299.65, 'feels_like': 299.35}, 'status': 'Clear', 'detailed_status': 'clear sky', 'weather_code': 800, 'weather_icon_name': '01d', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 18000, 'uvi': None, 'precipitation_probability': None}|1486209
1688732396|{'reference_time': 1688732396, 'sunset_time': 1688725548, 'sunrise_time': 1688668891, 'clouds': 40, 'rain': {}, 'snow': {}, 'wind': {'speed': 2, 'deg': 240}, 'humidity': 88, 'pressure': {'press': 1006, 'sea_level': None}, 'temperature': {'temp': 288.94, 'temp_kf': None, 'temp_max': 288.94, 'temp_min': 288.5, 'feels_like': 288.87}, 'status': 'Clouds', 'detailed_status': 'scattered clouds', 'weather_code': 802, 'weather_icon_name': '03n', 'visibility_distance': 10000, 'dewpoint': None, 'humidex': None, 'heat_index': None, 'utc_offset': 39600, 'uvi': None, 'precipitation_probability': None}|2119441
